number,linux_name,status,dispatch_macros,dispatch_handlers,kernel_macros_at_number,legacy_alias_if_enabled,test_covered,notes
75,fdatasync,native-ok,SYS_fdatasync_x86,sys_vfs_fdatasync,SYS_fdatasync_x86,SYS_sigsuspend(1275),yes,native number is wired to matching handler
76,truncate,native-ok,SYS_truncate_x86,sys_vfs_truncate,SYS_truncate_x86,SYS_sigwait(1276),yes,native number is wired to matching handler
77,ftruncate,native-ok,SYS_ftruncate_x86,sys_vfs_ftruncate,SYS_ftruncate_x86,,yes,native number is wired to matching handler
78,getdents,struct-risk,SYS_getdents_x86,sys_getdents_compat,SYS_getdents_x86,,yes,native number is wired; audit structs/flags/semantics
79,getcwd,native-ok,SYS_getcwd_x86,sys_getcwd,SYS_getcwd_x86,,yes,native number is wired to matching handler
80,chdir,native-ok,SYS_chdir_x86,sys_vfs_chdir,SYS_chdir_x86,,yes,native number is wired to matching handler
81,fchdir,native-ok,SYS_fchdir_x86,sys_vfs_fchdir,SYS_fchdir_x86,,yes,native number is wired to matching handler
82,rename,native-ok,SYS_rename_x86,sys_vfs_rename,SYS_rename_x86,,yes,native number is wired to matching handler
83,mkdir,native-ok,SYS_mkdir_x86,sys_vfs_mkdir,SYS_mkdir_x86,,yes,native number is wired to matching handler
84,rmdir,native-ok,SYS_rmdir_x86,sys_vfs_rmdir,SYS_rmdir_x86,,yes,native number is wired to matching handler
85,creat,native-ok,SYS_creat_x86,sys_vfs_creat,SYS_creat_x86,,yes,native number is wired to matching handler
86,link,native-ok,SYS_link_x86,sys_vfs_link,SYS_link_x86,,yes,native number is wired to matching handler
87,unlink,native-ok,SYS_unlink_x86,sys_vfs_unlink,SYS_unlink_x86,,yes,native number is wired to matching handler
88,symlink,native-ok,SYS_symlink_x86,sys_vfs_symlink,SYS_symlink_x86,,yes,native number is wired to matching handler
89,readlink,native-ok,SYS_readlink_x86,sys_vfs_readlink,SYS_readlink_x86,,yes,native number is wired to matching handler
90,chmod,native-ok,SYS_chmod_x86,sys_vfs_chmod,SYS_chmod_x86,,yes,native number is wired to matching handler
91,fchmod,native-ok,SYS_fchmod_x86,sys_vfs_fchmod,SYS_fchmod_x86,,yes,native number is wired to matching handler
92,chown,native-ok,SYS_chown_x86,sys_vfs_chown,SYS_chown_x86,,yes,native number is wired to matching handler
93,fchown,native-ok,SYS_fchown_x86,sys_vfs_fchown,SYS_fchown_x86,,yes,native number is wired to matching handler
94,lchown,native-ok,SYS_lchown_x86,sys_vfs_lchown,SYS_lchown_x86,,no,native number is wired to matching handler
95,umask,native-ok,SYS_umask_x86,sys_umask,SYS_umask_x86,,yes,native number is wired to matching handler
96,gettimeofday,native-ok,SYS_gettimeofday_x86,sys_gettimeofday,SYS_gettimeofday_x86,,yes,native number is wired to matching handler
97,getrlimit,struct-risk,SYS_getrlimit_x86,sys_getrlimit,SYS_getrlimit_x86,,no,native number is wired; audit structs/flags/semantics
98,getrusage,struct-risk,SYS_getrusage_x86,sys_getrusage,SYS_getrusage_x86,,no,native number is wired; audit structs/flags/semantics
99,sysinfo,struct-risk,SYS_sysinfo_x86,sys_sysinfo,SYS_sysinfo_x86,,yes,native number is wired; audit structs/flags/semantics
100,times,native-ok,SYS_times_x86,sys_times,SYS_times_x86,SYS_socket(1300),yes,native number is wired to matching handler
101,ptrace,native-ok,SYS_ptrace_x86,sys_ptrace,SYS_ptrace_x86,SYS_bind(1301),yes,native number is wired to matching handler
102,getuid,native-ok,SYS_getuid_x86,sys_getuid,SYS_getuid_x86,SYS_listen(1302),yes,native number is wired to matching handler
103,syslog,native-ok,SYS_syslog_x86,sys_syslog,SYS_syslog_x86,SYS_accept(1303),yes,native number is wired to matching handler
104,getgid,native-ok,SYS_getgid_x86,sys_getgid,SYS_getgid_x86,SYS_sconnect(1304),yes,native number is wired to matching handler
105,setuid,native-ok,SYS_setuid_x86,sys_setuid,SYS_setuid_x86,SYS_sendto(1305),no,native number is wired to matching handler
106,setgid,native-ok,SYS_setgid_x86,sys_setgid,SYS_setgid_x86,SYS_recvfrom(1306),no,native number is wired to matching handler
107,geteuid,native-ok,SYS_geteuid_x86,sys_geteuid,SYS_geteuid_x86,SYS_setsockopt(1307),yes,native number is wired to matching handler
108,getegid,native-ok,SYS_getegid_x86,sys_getegid,SYS_getegid_x86,SYS_getsockopt(1308),yes,native number is wired to matching handler
109,setpgid,native-ok,SYS_setpgid_x86,sys_setpgid,SYS_setpgid_x86,SYS_shutdown(1309),no,native number is wired to matching handler
110,getppid,native-ok,SYS_getppid_x86,sys_getppid,SYS_getppid_x86,SYS_getpeername(1310),yes,native number is wired to matching handler
111,getpgrp,native-ok,SYS_getpgrp_x86,sys_getpgrp,SYS_getpgrp_x86,SYS_getsockname(1311),yes,native number is wired to matching handler
112,setsid,native-ok,SYS_setsid_x86,sys_setsid,SYS_setsid_x86,SYS_sendmsg(1312),no,native number is wired to matching handler
113,setreuid,native-ok,SYS_setreuid_x86,sys_setreuid,SYS_setreuid_x86,SYS_recvmsg(1313),yes,native number is wired to matching handler
114,setregid,native-ok,SYS_setregid_x86,sys_setregid,SYS_setregid_x86,SYS_accept4(1314),yes,native number is wired to matching handler
115,getgroups,struct-risk,SYS_getgroups_x86,sys_getgroups,SYS_getgroups_x86,SYS_sendfile(1315),yes,native number is wired; audit structs/flags/semantics
116,setgroups,struct-risk,SYS_setgroups_x86,sys_setgroups,SYS_setgroups_x86,,no,native number is wired; audit structs/flags/semantics
117,setresuid,native-ok,SYS_setresuid_x86,sys_setresuid,SYS_setresuid_x86,,no,native number is wired to matching handler
118,getresuid,struct-risk,SYS_getresuid_x86,sys_getresuid,SYS_getresuid_x86,,yes,native number is wired; audit structs/flags/semantics
119,setresgid,native-ok,SYS_setresgid_x86,sys_setresgid,SYS_setresgid_x86,,no,native number is wired to matching handler
120,getresgid,struct-risk,SYS_getresgid_x86,sys_getresgid,SYS_getresgid_x86,SYS_openat(1320),yes,native number is wired; audit structs/flags/semantics
121,getpgid,native-ok,SYS_getpgid_x86,sys_getpgid,SYS_getpgid_x86,SYS_writev(1321),no,native number is wired to matching handler
122,setfsuid,native-ok,SYS_setfsuid_x86,sys_setfsuid,SYS_setfsuid_x86,SYS_readv(1322),yes,native number is wired to matching handler
123,setfsgid,native-ok,SYS_setfsgid_x86,sys_setfsgid,SYS_setfsgid_x86,SYS_set_tid_address(1323),yes,native number is wired to matching handler
124,getsid,native-ok,SYS_getsid_x86,sys_getsid,SYS_getsid_x86,SYS_clock_gettime(1324),no,native number is wired to matching handler
125,capget,native-ok,SYS_capget_x86,sys_capget,SYS_capget_x86,SYS_clock_getres(1325),yes,native number is wired to matching handler
126,capset,native-ok,SYS_capset_x86,sys_capset,SYS_capset_x86,SYS_pread64(1326),yes,native number is wired to matching handler
127,rt_sigpending,struct-risk,SYS_rt_sigpending_x86,sys_rt_sigpending,SYS_rt_sigpending_x86,SYS_pwrite64(1327),yes,native number is wired; audit structs/flags/semantics
128,rt_sigtimedwait,struct-risk,SYS_rt_sigtimedwait_x86,sys_rt_sigtimedwait,SYS_rt_sigtimedwait_x86,SYS_fstatat(1328),yes,native number is wired; audit structs/flags/semantics
129,rt_sigqueueinfo,struct-risk,SYS_rt_sigqueueinfo_x86,sys_rt_sigqueueinfo,SYS_rt_sigqueueinfo_x86,SYS_pipe2(1329),no,native number is wired; audit structs/flags/semantics
130,rt_sigsuspend,struct-risk,SYS_rt_sigsuspend_x86,sys_rt_sigsuspend,SYS_rt_sigsuspend_x86,SYS_mkdirat(1330),yes,native number is wired; audit structs/flags/semantics
